regime,metric,seed_mean,seed_sd,pooled_count,min,p05,median,p95,max
easy,before.margin,0.09094853750430047,0.04683331747403482,300,-0.45081788301467896,-0.16457573771476744,0.09822811186313629,0.32360249757766724,0.42810457944869995
easy,before.query_nll,0.8748664483899483,0.2988473257259499,2400,0.0024986020289361477,0.0183086596429348,0.4046251028776169,3.046885478496551,5.878875732421875
easy,after.accuracy,0.7370833333333333,0.07830562453191556,300,0.0,0.125,0.875,1.0,1.0
easy,after.nll,0.6649284019817909,0.17593929981412984,300,0.060527533292770386,0.12697965167462827,0.5245376527309418,1.7081633150577555,3.099321126937866
easy,after.margin,0.10660351615088681,0.03184184797695661,300,-0.25236010551452637,-0.09069401733577251,0.11165649816393852,0.2791739240288735,0.3685954809188843
easy,after.query_nll,0.6649284020673562,0.1759393018972524,2400,0.0071652112528681755,0.03405389823019504,0.3796774297952652,2.014490294456477,5.426368236541748
easy,after.update_norm,0.27333008738855524,0.12261209093050618,300,0.03356226906180382,0.09130130037665367,0.2347887083888054,0.5210548579692841,0.641269326210022
easy,after.accuracy_delta,0.10375000000000001,0.17235501153143185,300,-1.0,-0.5,0.0,0.75,1.0
easy,after.nll_delta,-0.20993804924810927,0.3777518955806023,300,-3.8822842240333557,-1.4409446090459823,-0.12484190985560417,1.0277238011360168,2.9902829602360725
easy,after.margin_delta,0.01565497864658634,0.07284876572605821,300,-0.47773051261901855,-0.2947515189647674,0.01230011135339737,0.2609771477989853,0.4914921931922436
easy,after.query_nll_delta,-0.20993804632259222,0.37775189843592594,2400,-4.644422233104706,-2.099123293161392,-0.10728203505277634,1.5751207815483164,5.349034585058689
easy,after.episode_nll_improves,0.64,0.20663978319771822,300,0.0,0.0,1.0,1.0,1.0
easy,after.query_nll_improves_fraction,0.59,0.10505207042224346,300,0.0,0.0,0.625,1.0,1.0
easy,O1_inner_loss_before,2.479824252128601,0.6223132333339533,300,1.4374932050704956,1.6070228934288024,2.38008189201355,3.565904593467713,4.766330718994141
easy,O1_inner_loss_after,1.9379618807633718,0.268808812766124,300,1.3602545261383057,1.481957107782364,1.9013625979423523,2.54766640663147,3.1385233402252197
easy,own_inner_loss_before,2.479824252128601,0.6223132333339533,300,1.4374932050704956,1.6070228934288024,2.38008189201355,3.565904593467713,4.766330718994141
easy,own_inner_loss_after,1.9379618807633718,0.268808812766124,300,1.3602545261383057,1.481957107782364,1.9013625979423523,2.54766640663147,3.1385233402252197
easy,step.chosen_eta,0.038583333908269804,0.009474747279411347,300,0.012500000186264515,0.02500000037252903,0.05000000074505806,0.05000000074505806,0.05000000074505806
easy,step.backtracking_trials,1.46,0.3835361782153021,300,1.0,1.0,1.0,2.0,3.0
easy,step.step_accepted,1,0.0,300,True,1.0,1.0,1.0,True
