method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
C0,hard,after.nll_delta,-0.0037665237983067843,0.03431432081739489,300,-2.0109336376190186,-0.9113083571195603,-0.024956196546554565,1.0412269055843357,2.745915949344635
C0,hard,after.margin_delta,0.0013125710538588462,0.007115104493093919,300,-0.3101612403988838,-0.15373232476413248,0.0030291881412267685,0.14667183104902506,0.2803967706859112
C0,hard,after.query_nll_delta,-0.003766518828148644,0.034314319291698474,2400,-2.764157384634018,-1.4542248964309692,-0.1166498064994812,1.741681948304176,3.3836178928613663
C0,hard,after.episode_nll_improves,0.5266666666666667,0.01527525231651948,300,0.0,0.0,1.0,1.0,1.0
C0,hard,after.query_nll_improves_fraction,0.5641666666666666,0.04841767067232099,300,0.0,0.0,0.5,1.0,1.0
C0,hard,O1_inner_loss_before,1.6594242942333222,0.02456879257388049,300,1.4148855209350586,1.4686074256896973,1.6139700412750244,2.0056305646896364,2.3310861587524414
C0,hard,O1_inner_loss_after,1.620739417473475,0.05002090112989881,300,1.3996267318725586,1.4475767493247986,1.57982337474823,1.9271292328834535,2.2170605659484863
C0,hard,own_inner_loss_before,1.6594242942333222,0.02456879257388049,300,1.4148855209350586,1.4686074256896973,1.6139700412750244,2.0056305646896364,2.3310861587524414
C0,hard,own_inner_loss_after,1.620739417473475,0.05002090112989881,300,1.3996267318725586,1.4475767493247986,1.57982337474823,1.9271292328834535,2.2170605659484863
C0,hard,representation_shift,0.5427209651221832,0.08666488237040149,300,0.03789002448320389,0.23734877705574037,0.48972153663635254,0.9951338261365895,1.327884316444397
C0,hard,normal_output_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C0,hard,normal_state_max_error,0.0,0.0,300,0.0,0.0,0.0,0.0,0.0
C0,hard,nonfinite_elements,0,0.0,300,0,0.0,0.0,0.0,0
C0,hard,all_finite,1,0.0,300,True,1.0,1.0,1.0,True
C1,easy,alignment.cosine,0.4106405133195221,0.2787286589335989,300,-0.8705061078071594,-0.6256754994392395,0.6038753986358643,0.8867481976747513,0.9557448625564575
C1,easy,alignment.dot,102.09001574382187,74.51080552108591,300,-121.45169067382812,-23.656640434265135,56.16998481750488,393.9526062011719,713.3147583007812
C1,easy,alignment.gradient_norm,14.053244610627491,4.1808768724938385,300,3.059521436691284,6.401307320594788,13.01412296295166,24.485471630096438,30.679250717163086
C1,easy,alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C1,easy,raw_O1_alignment.cosine,0.4106405133195221,0.2787286589335989,300,-0.8705061078071594,-0.6256754994392395,0.6038753986358643,0.8867481976747513,0.9557448625564575
C1,easy,raw_O1_alignment.dot,102.09001574382187,74.51080552108591,300,-121.45169067382812,-23.656640434265135,56.16998481750488,393.9526062011719,713.3147583007812
C1,easy,raw_O1_alignment.gradient_norm,14.053244610627491,4.1808768724938385,300,3.059521436691284,6.401307320594788,13.01412296295166,24.485471630096438,30.679250717163086
C1,easy,raw_O1_alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C1,easy,effective_direction.cosine,0.41064051670022306,0.2787286531763447,300,-0.8705061078071594,-0.6256755530834198,0.6038753986358643,0.8867481976747513,0.9557449221611023
C1,easy,effective_direction.dot,1.143201753930965,0.7790444747579978,300,-1.3044360876083374,-0.42331999391317365,0.7549013197422028,3.9066321253776577,5.472639560699463
C1,easy,effective_direction.gradient_norm,0.17928024093310038,0.02390655512130636,300,0.12774695456027985,0.14220430999994277,0.18251153081655502,0.21466602385044098,0.23324505984783173
C1,easy,effective_direction.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
C1,easy,before.accuracy,0.7758333333333334,0.09995571936279249,300,0.0,0.25,0.875,1.0,1.0
C1,easy,before.nll,0.5559194744362806,0.20889473537059772,300,0.005686507094651461,0.02851496515795589,0.3366798311471939,1.7930660724639893,2.9200637340545654
C1,easy,before.margin,0.2071880392326663,0.013715260003289792,300,-0.22809892892837524,-0.09160979762673378,0.22383016347885132,0.4639766976237298,0.5599768161773682
