scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
state/seed17_P_O0_resume_step400/easy,assignment_probability_gap,100,54,49,-0.045184518451845186,0.4428341384863124,0.44737895158063223
state/seed17_P_O0_resume_step400/easy,inner_loss_before,100,54,49,0.2622022202220222,0.5946054750402576,0.640656262505002
state/seed17_P_O0_resume_step400/easy,gradient_norm,100,54,49,0.37572157215721574,0.6867954911433173,0.7318927571028412
state/seed17_P_O0_resume_step400/easy,chosen_eta,100,54,49,-0.08443916161115529,0.41807568438003223,0.4425770308123249
state/seed17_P_O0_resume_step400/easy,backtracking_trials,100,54,49,0.08443916161115529,0.5819243156199678,0.5574229691876751
state/seed17_P_O0_resume_step400/easy,normalized_update,100,54,49,0.1472907290729073,0.5169082125603864,0.5786314525810324
state/seed17_P_O0_resume_step400/easy,representation_shift,100,54,49,0.13106510651065106,0.5064412238325282,0.5638255302120848
state/seed17_P_O0_resume_step400/easy,relative_inner_reduction,100,54,49,-0.24355235523552354,0.35909822866344604,0.38015206082432973
state/seed17_P_O0_resume_step400/easy,query_js,100,54,49,0.3275127512751275,0.6409017713365539,0.7290916366546618
state/seed17_P_O0_resume_step400/easy,prediction_changed_fraction,100,54,49,0.13115469324268855,0.5364331723027376,0.6142456982793117
state/seed17_P_O0_resume_step400/hard,query_entropy,100,49,32,0.2290909090909091,0.5506202480992397,0.47931985294117646
state/seed17_P_O0_resume_step400/hard,query_max_probability,100,49,32,-0.2243864386438644,0.4421768707482993,0.5257352941176471
state/seed17_P_O0_resume_step400/hard,query_probability_gap,100,49,32,-0.19921992199219923,0.43897559023609445,0.53125
state/seed17_P_O0_resume_step400/hard,assignment_entropy,100,49,32,0.14977497749774976,0.5574229691876751,0.49954044117647056
state/seed17_P_O0_resume_step400/hard,assignment_probability_gap,100,49,32,-0.06823882388238824,0.5034013605442177,0.4834558823529412
state/seed17_P_O0_resume_step400/hard,inner_loss_before,100,49,32,-0.17477347734773477,0.46338535414165666,0.5730698529411765
state/seed17_P_O0_resume_step400/hard,gradient_norm,100,49,32,-0.19743174317431744,0.41616646658663464,0.5753676470588235
state/seed17_P_O0_resume_step400/hard,chosen_eta,100,49,32,0.03553889276874094,0.5094037615046019,0.4990808823529412
state/seed17_P_O0_resume_step400/hard,backtracking_trials,100,49,32,-0.03553889276874094,0.4905962384953982,0.5009191176470589
state/seed17_P_O0_resume_step400/hard,normalized_update,100,49,32,-0.18183018301830184,0.4261704681872749,0.5804227941176471
state/seed17_P_O0_resume_step400/hard,representation_shift,100,49,32,-0.19708370837083708,0.4125650260104042,0.5790441176470589
state/seed17_P_O0_resume_step400/hard,relative_inner_reduction,100,49,32,-0.26444644464446443,0.40416166466586634,0.5280330882352942
state/seed17_P_O0_resume_step400/hard,query_js,100,49,32,-0.226006600660066,0.3981592637054822,0.5744485294117647
state/seed17_P_O0_resume_step400/hard,prediction_changed_fraction,100,49,32,-0.1265030317342857,0.4421768707482993,0.47127757352941174
state/seed17_P_O0_resume_step50/easy,query_entropy,100,26,22,-0.3076867686768677,0.29573804573804574,0.31585081585081587
state/seed17_P_O0_resume_step50/easy,query_max_probability,100,26,22,0.26293429342934294,0.6907484407484408,0.6561771561771562
state/seed17_P_O0_resume_step50/easy,query_probability_gap,100,26,22,0.26525052505250524,0.6943866943866944,0.6596736596736597
state/seed17_P_O0_resume_step50/easy,assignment_entropy,100,26,22,0.23972397239723972,0.6616424116424117,0.666083916083916
state/seed17_P_O0_resume_step50/easy,assignment_probability_gap,100,26,22,-0.1316171617161716,0.3996881496881497,0.3881118881118881
state/seed17_P_O0_resume_step50/easy,inner_loss_before,100,26,22,0.12087608760876088,0.5524948024948025,0.6241258741258742
state/seed17_P_O0_resume_step50/easy,gradient_norm,100,26,22,0.18525052505250525,0.5337837837837838,0.5815850815850816
state/seed17_P_O0_resume_step50/easy,chosen_eta,100,26,22,0.09536128998493991,0.6400727650727651,0.6439393939393939
state/seed17_P_O0_resume_step50/easy,backtracking_trials,100,26,22,-0.09536128998493991,0.35992723492723494,0.3560606060606061
state/seed17_P_O0_resume_step50/easy,normalized_update,100,26,22,0.18785478547854786,0.670997920997921,0.7290209790209791
state/seed17_P_O0_resume_step50/easy,representation_shift,100,26,22,0.19797179717971797,0.6751559251559252,0.7331002331002331
state/seed17_P_O0_resume_step50/easy,relative_inner_reduction,100,26,22,-0.1205040504050405,0.35706860706860705,0.34965034965034963
state/seed17_P_O0_resume_step50/easy,query_js,100,26,22,-0.329012901290129,0.446985446985447,0.5454545454545454
state/seed17_P_O0_resume_step50/easy,prediction_changed_fraction,100,26,22,-0.5072203292580718,0.3503118503118503,0.40326340326340326
state/seed17_P_O0_resume_step50/hard,query_entropy,100,42,35,0.16874887488748874,0.5344827586206896,0.5345054945054946
state/seed17_P_O0_resume_step50/hard,query_max_probability,100,42,35,-0.16855685568556855,0.47701149425287354,0.4703296703296703
state/seed17_P_O0_resume_step50/hard,query_probability_gap,100,42,35,-0.16457245724572458,0.4872742200328407,0.4764835164835165
state/seed17_P_O0_resume_step50/hard,assignment_entropy,100,42,35,0.26156615661566157,0.5796387520525451,0.5907692307692308
state/seed17_P_O0_resume_step50/hard,assignment_probability_gap,100,42,35,-0.10891089108910891,0.4815270935960591,0.4756043956043956
state/seed17_P_O0_resume_step50/hard,inner_loss_before,100,42,35,-0.21642964296429643,0.41995073891625617,0.46813186813186813
state/seed17_P_O0_resume_step50/hard,gradient_norm,100,42,35,-0.1615961596159616,0.44047619047619047,0.4940659340659341
state/seed17_P_O0_resume_step50/hard,chosen_eta,100,42,35,-0.05851368689858397,0.4897372742200328,0.5228571428571429
state/seed17_P_O0_resume_step50/hard,backtracking_trials,100,42,35,0.05851368689858397,0.5102627257799671,0.47714285714285715
state/seed17_P_O0_resume_step50/hard,normalized_update,100,42,35,-0.1487788778877888,0.4573070607553366,0.5182417582417582
state/seed17_P_O0_resume_step50/hard,representation_shift,100,42,35,-0.14717071707170717,0.4585385878489327,0.5195604395604395
state/seed17_P_O0_resume_step50/hard,relative_inner_reduction,100,42,35,-0.1963036303630363,0.4215927750410509,0.45978021978021977
state/seed17_P_O0_resume_step50/hard,query_js,100,42,35,-0.20094809480948095,0.4351395730706076,0.49758241758241756
state/seed17_P_O0_resume_step50/hard,prediction_changed_fraction,100,42,35,-0.08779260894840102,0.48357963875205257,0.5345054945054946
state/seed17_original_P/easy,query_entropy,100,25,15,-0.38832283228322834,0.21066666666666667,0.2564705882352941
state/seed17_original_P/easy,query_max_probability,100,25,15,0.31954395439543953,0.752,0.7043137254901961
state/seed17_original_P/easy,query_probability_gap,100,25,15,0.3170957095709571,0.7525333333333334,0.7074509803921568
state/seed17_original_P/easy,assignment_entropy,100,25,15,0.12924092409240925,0.6,0.5850980392156863
state/seed17_original_P/easy,assignment_probability_gap,100,25,15,-0.021326132613261325,0.47146666666666665,0.49098039215686273
state/seed17_original_P/easy,inner_loss_before,100,25,15,0.10657065706570656,0.5578666666666666,0.5584313725490196
state/seed17_original_P/easy,gradient_norm,100,25,15,0.19217521752175218,0.6261333333333333,0.6007843137254902
state/seed17_original_P/easy,chosen_eta,100,25,15,0.002120494355086965,0.5088,0.5843137254901961
state/seed17_original_P/easy,backtracking_trials,100,25,15,-0.002120494355086965,0.4912,0.41568627450980394
state/seed17_original_P/easy,normalized_update,100,25,15,0.14214221422142215,0.6032,0.68
state/seed17_original_P/easy,representation_shift,100,25,15,0.14735073507350735,0.6064,0.6823529411764706
state/seed17_original_P/easy,relative_inner_reduction,100,25,15,-0.04291629162916292,0.4165333333333333,0.35843137254901963
state/seed17_original_P/easy,query_js,100,25,15,-0.4289108910891089,0.34826666666666667,0.5364705882352941
state/seed17_original_P/easy,prediction_changed_fraction,100,25,15,-0.5713126217722481,0.2674666666666667,0.3933333333333333
state/seed17_original_P/hard,query_entropy,100,45,38,0.06652265226522652,0.49333333333333335,0.4906621392190153
state/seed17_original_P/hard,query_max_probability,100,45,38,-0.08082808280828083,0.503030303030303,0.5135823429541596
state/seed17_original_P/hard,query_probability_gap,100,45,38,-0.08400840084008401,0.49252525252525253,0.5182512733446519
state/seed17_original_P/hard,assignment_entropy,100,45,38,0.15894389438943896,0.5870707070707071,0.5055178268251274
state/seed17_original_P/hard,assignment_probability_gap,100,45,38,-0.062382238223822384,0.48848484848484847,0.5454159592529711
state/seed17_original_P/hard,inner_loss_before,100,45,38,-0.12447644764476448,0.44686868686868686,0.5220713073005093
state/seed17_original_P/hard,gradient_norm,100,45,38,-0.09828982898289829,0.4602020202020202,0.5326825127334465
state/seed17_original_P/hard,chosen_eta,100,45,38,-0.03477250558940255,0.5038383838383839,0.5326825127334465
state/seed17_original_P/hard,backtracking_trials,100,45,38,0.03477250558940255,0.49616161616161614,0.4673174872665535
state/seed17_original_P/hard,normalized_update,100,45,38,-0.09009300930093009,0.47919191919191917,0.5437181663837012
state/seed17_original_P/hard,representation_shift,100,45,38,-0.08087608760876087,0.48404040404040405,0.5488115449915111
state/seed17_original_P/hard,relative_inner_reduction,100,45,38,-0.13047704770477048,0.4618181818181818,0.517402376910017
state/seed17_original_P/hard,query_js,100,45,38,-0.1143954395439544,0.46585858585858586,0.5216468590831919
state/seed17_original_P/hard,prediction_changed_fraction,100,45,38,-0.008264298413260587,0.5066666666666667,0.5602716468590832
state/seed27_P_C2_warm_step0/easy,query_entropy,100,68,61,-0.19541554155415541,0.30514705882352944,0.38419503993274484
state/seed27_P_C2_warm_step0/easy,query_max_probability,100,68,61,0.20333633363336334,0.6957720588235294,0.6221101303068516
state/seed27_P_C2_warm_step0/easy,query_probability_gap,100,68,61,0.18567056705670568,0.6907169117647058,0.6200084068936528
